order_id,customer_id,product_id,order_date,quantity,unit_price,discount,net_sales,payment_method
ORD000001,C0158,P039,2026-01-08 17:11:00,2,940.5,0.0,1881.0,Bank Transfer
ORD000002,C0123,P038,2026-01-12 20:13:00,1,12900.0,0.1,11610.0,Bank Transfer
ORD000003,C0119,P031,2026-01-26 14:00:00,3,1415.5,0.05,4034.1749999999997,PromptPay
ORD000004,C0065,P003,2026-01-18 16:18:00,2,25900.0,0.0,51800.0,Bank Transfer
ORD000005,C0129,P007,2026-01-08 17:43:00,2,23310.0,0.05,44289.0,Credit Card
ORD000006,C0097,P037,2026-01-23 11:50:00,2,27195.0,0.0,54390.0,Bank Transfer
ORD000007,C0139,P001,2026-01-24 07:03:00,1,284.05,0.0,284.05,Bank Transfer
ORD000010,C0100,P017,2026-01-07 03:12:00,2,990.0,0.1,1782.0,Bank Transfer
ORD000011,C0120,P028,2026-01-12 14:34:00,2,313.95,0.0,627.9,Credit Card
ORD000012,C0141,P008,2026-01-08 22:35:00,2,449.1,0.05,853.29,Bank Transfer
ORD000013,C0110,P002,2026-01-27 22:41:00,2,1341.0,0.0,2682.0,Bank Transfer
ORD000014,C0142,P017,2026-01-20 07:11:00,4,990.0,0.0,3960.0,Credit Card
ORD000015,C0151,P018,2026-01-04 13:47:00,2,4189.5,0.0,8379.0,Bank Transfer
ORD000016,C0072,P006,2026-01-18 06:47:00,1,313.95,0.0,313.95,Bank Transfer
ORD000017,C0048,P019,2026-01-27 00:37:00,2,3591.0,0.0,7182.0,Bank Transfer
ORD000018,C0037,P001,2026-01-05 02:59:00,3,299.0,0.0,897.0,Bank Transfer
ORD000019,C0159,P019,2026-01-14 22:23:00,1,4189.5,0.1,3770.55,PromptPay
ORD000020,C0115,P007,2026-01-08 21:53:00,1,25900.0,0.0,25900.0,Credit Card
ORD000021,C0007,P007,2026-01-18 02:04:00,1,27195.0,0.05,25835.25,Bank Transfer
ORD000024,C0042,P033,2026-01-28 11:43:00,1,13545.0,0.0,13545.0,Bank Transfer
ORD000025,C0079,P011,2026-01-07 13:04:00,1,25900.0,0.0,25900.0,Credit Card
ORD000026,C0107,P008,2026-01-04 19:15:00,1,499.0,0.0,499.0,Credit Card
ORD000027,C0143,P019,2026-01-23 14:12:00,2,3790.5,0.1,6822.900000000001,Credit Card
ORD000028,C0139,P013,2026-01-08 05:59:00,4,523.95,0.0,2095.8,Credit Card
ORD000030,C0003,P006,2026-01-10 12:26:00,1,299.0,0.05,284.05,PromptPay
ORD000031,C0087,P027,2026-01-16 18:33:00,1,24605.0,0.0,24605.0,PromptPay
ORD000032,C0085,P035,2026-01-01 14:52:00,1,25900.0,0.0,25900.0,Bank Transfer
ORD000034,C0044,P005,2026-01-24 06:21:00,1,313.95,0.0,313.95,PromptPay
ORD000035,C0045,P033,2026-01-16 21:39:00,3,12900.0,0.0,38700.0,PromptPay
ORD000036,C0043,P005,2026-01-21 10:30:00,1,299.0,0.0,299.0,Credit Card
ORD000037,C0108,P017,2026-01-20 00:56:00,4,990.0,0.0,3960.0,PromptPay
ORD000038,C0008,P009,2026-01-18 01:57:00,1,284.05,0.05,269.8475,PromptPay
ORD000039,C0126,P004,2026-01-28 20:23:00,2,1415.5,0.0,2831.0,PromptPay
ORD000040,C0086,P021,2026-01-15 23:19:00,1,23310.0,0.0,23310.0,PromptPay
ORD000041,C0008,P034,2026-01-11 12:38:00,2,284.05,0.0,568.1,Credit Card
ORD000042,C0114,P032,2026-01-21 15:59:00,1,25900.0,0.0,25900.0,Credit Card
ORD000043,C0006,P018,2026-01-03 08:15:00,1,3790.5,0.05,3600.975,Bank Transfer
ORD000045,C0068,P019,2026-01-16 19:17:00,3,3990.0,0.0,11970.0,Bank Transfer
ORD000046,C0097,P026,2026-01-21 21:21:00,2,12900.0,0.1,23220.0,Bank Transfer
ORD000047,C0100,P038,2026-01-01 07:56:00,4,11610.0,0.0,46440.0,PromptPay
ORD000048,C0040,P038,2026-01-13 07:59:00,2,12900.0,0.0,25800.0,PromptPay
ORD000049,C0059,P019,2026-01-18 00:12:00,1,3990.0,0.05,3790.5,PromptPay
ORD000050,C0067,P006,2026-01-09 02:38:00,1,313.95,0.0,313.95,Bank Transfer
ORD000051,C0035,P039,2026-01-24 03:14:00,4,990.0,0.0,3960.0,Credit Card
ORD000052,C0079,P035,2026-01-18 11:03:00,1,23310.0,0.0,23310.0,Credit Card
ORD000053,C0113,P019,2026-01-16 20:25:00,4,3990.0,0.05,15162.0,Credit Card
ORD000054,C0046,P035,2026-01-01 18:10:00,1,25900.0,0.1,23310.0,Bank Transfer
ORD000055,C0132,P027,2026-01-07 14:06:00,2,23310.0,0.0,46620.0,Credit Card
ORD000057,C0054,P039,2026-01-20 22:46:00,2,990.0,0.0,1980.0,Bank Transfer
ORD000058,C0096,P038,2026-01-16 05:55:00,2,13545.0,0.05,25735.5,PromptPay
ORD000059,C0038,P005,2026-01-22 06:56:00,1,284.05,0.0,284.05,Bank Transfer
ORD000060,C0057,P005,2026-01-15 09:26:00,1,299.0,0.1,269.1,Credit Card
ORD000061,C0102,P023,2026-01-08 12:44:00,2,313.95,0.1,565.11,Bank Transfer
ORD000062,C0036,P020,2026-01-09 13:10:00,3,499.0,0.0,1497.0,PromptPay
ORD000063,C0034,P025,2026-01-08 01:20:00,3,27195.0,0.0,81585.0,Credit Card
ORD000064,C0152,P014,2026-01-07 21:17:00,1,1039.5,0.1,935.5500000000001,Credit Card
ORD000065,C0160,P031,2026-01-20 12:44:00,3,1490.0,0.0,4470.0,Bank Transfer
ORD000067,C0125,P035,2026-01-11 23:34:00,1,25900.0,0.0,25900.0,Credit Card
ORD000068,C0052,P039,2026-01-15 21:59:00,1,940.5,0.05,893.4749999999999,PromptPay
ORD000069,C0081,P039,2026-01-09 12:18:00,1,1039.5,0.0,1039.5,Credit Card
ORD000070,C0069,P014,2026-01-28 09:39:00,4,1039.5,0.0,4158.0,Bank Transfer
ORD000071,C0021,P008,2026-01-01 22:56:00,1,523.95,0.0,523.95,Credit Card
ORD000072,C0028,P032,2026-01-24 22:09:00,4,23310.0,0.05,88578.0,Credit Card
ORD000073,C0009,P022,2026-01-13 05:31:00,1,474.05,0.0,474.05,Credit Card
ORD000074,C0110,P031,2026-01-17 10:33:00,4,1490.0,0.0,5960.0,Credit Card
ORD000075,C0039,P007,2026-01-22 08:13:00,2,24605.0,0.05,46749.5,Credit Card
