product_id,product_name,category,standard_price
P001,Notebook Model 01,Notebook,299
P002,Smartphone Model 02,Smartphone,1490
P003,Smartphone Model 03,Smartphone,25900
P004,Smart Home Model 04,Smart Home,1490
P005,Smartphone Model 05,Smartphone,299
P006,Accessory Model 06,Accessory,299
P007,Notebook Model 07,Notebook,25900
P008,Accessory Model 08,Accessory,499
P009,Notebook Model 09,Notebook,299
P010,Smart Home Model 10,Smart Home,990
P011,Accessory Model 11,Accessory,25900
P012,Accessory Model 12,Accessory,990
P013,Smart Home Model 13,Smart Home,499
P014,Notebook Model 14,Notebook,990
P015,Notebook Model 15,Notebook,299
P016,Accessory Model 16,Accessory,1490
P017,Smartphone Model 17,Smartphone,990
P018,Smartphone Model 18,Smartphone,3990
P019,Smartphone Model 19,Smartphone,3990
P020,Smart Home Model 20,Smart Home,499
P021,Smart Home Model 21,Smart Home,25900
P022,Accessory Model 22,Accessory,499
P023,Accessory Model 23,Accessory,299
P024,Accessory Model 24,Accessory,299
P025,Accessory Model 25,Accessory,25900
P026,Smart Home Model 26,Smart Home,12900
P027,Smartphone Model 27,Smartphone,25900
P028,Smartphone Model 28,Smartphone,299
P029,Notebook Model 29,Notebook,3990
P030,Smartphone Model 30,Smartphone,499
P031,Smart Home Model 31,Smart Home,1490
P032,Notebook Model 32,Notebook,25900
P033,Smart Home Model 33,Smart Home,12900
P034,Accessory Model 34,Accessory,299
P035,Accessory Model 35,Accessory,25900
P036,Notebook Model 36,Notebook,299
P037,Smart Home Model 37,Smart Home,25900
P038,Smartphone Model 38,Smartphone,12900
P039,Notebook Model 39,Notebook,990
P040,Accessory Model 40,Accessory,3990
